epseason,epnum,epname,dynamics
3,12,The One with All the Jealousy,56
3,13,The One Where Monica and Richard Are Just Friends,3
3,13,The One Where Monica and Richard Are Just Friends,4
3,13,The One Where Monica and Richard Are Just Friends,25
3,14,The One with Phoebe's Ex-Partner,1
3,14,The One with Phoebe's Ex-Partner,4
3,14,The One with Phoebe's Ex-Partner,56
3,15,The One Where Ross and Rachel Take a Break,4
3,15,The One Where Ross and Rachel Take a Break,12
3,15,The One Where Ross and Rachel Take a Break,56
3,16,The One the Morning After,56
3,16,The One the Morning After,1234
3,17,The One Without the Ski Trip,1
3,17,The One Without the Ski Trip,56
3,18,The One with the Hypnosis Tape,1
3,18,The One with the Hypnosis Tape,3
3,18,The One with the Hypnosis Tape,4
3,19,The One with the Tiny T-Shirt,1
3,19,The One with the Tiny T-Shirt,3
3,19,The One with the Tiny T-Shirt,56
3,20,The One with the Dollhouse,2
3,20,The One with the Dollhouse,15
3,20,The One with the Dollhouse,34
3,21,The One with the Chick and the Duck,12
3,21,The One with the Chick and the Duck,34
3,21,The One with the Chick and the Duck,56
3,22,The One with the Screamer,2
3,22,The One with the Screamer,4
3,22,The One with the Screamer,5
3,23,The One with Ross's Thing,3
3,23,The One with Ross's Thing,4
3,23,The One with Ross's Thing,6
3,24,The One with the Ultimate Fighting Champion,1
3,24,The One with the Ultimate Fighting Champion,3
3,24,The One with the Ultimate Fighting Champion,46
3,25,The One at the Beach,4
3,25,The One at the Beach,56
4,1,The One with the Jellyfish,4
4,1,The One with the Jellyfish,56
4,1,The One with the Jellyfish,123
4,2,The One with the Cat,3
4,2,The One with the Cat,4
4,2,The One with the Cat,12
4,3,The One with the 'Cuffs,15
4,3,The One with the 'Cuffs,34
4,4,The One with the Ballroom Dancing,4
4,4,The One with the Ballroom Dancing,2
4,4,The One with the Ballroom Dancing,16
4,5,The One with Joey's New Girlfriend,4
4,5,The One with Joey's New Girlfriend,5
4,5,The One with Joey's New Girlfriend,12
4,6,The One with the Dirty Girl,6
4,6,The One with the Dirty Girl,12
4,6,The One with the Dirty Girl,34
4,7,The One Where Chandler Crosses the Line,12
4,7,The One Where Chandler Crosses the Line,6
4,8,The One with Chandler in a Box,3
4,8,The One with Chandler in a Box,12
4,9,The One Where They're Going to Party!,5
4,9,The One Where They're Going to Party!,34
4,9,The One Where They're Going to Party!,16
4,10,The One with the Girl from Poughkeepsie,4
4,10,The One with the Girl from Poughkeepsie,6
4,10,The One with the Girl from Poughkeepsie,23
4,11,The One with Phoebe's Uterus,4
4,11,The One with Phoebe's Uterus,13
4,12,The One with the Embryos,4
4,12,The One with the Embryos,1235
4,13,The One with Rachel's Crush,1
4,13,The One with Rachel's Crush,3
4,13,The One with Rachel's Crush,5
4,14,The One with Joey's Dirty Day,1
4,14,The One with Joey's Dirty Day,2
4,14,The One with Joey's Dirty Day,36
4,15,The One with All the Rugby,1
4,15,The One with All the Rugby,3
4,15,The One with All the Rugby,6
4,16,The One with the Fake Party,24
4,16,The One with the Fake Party,5
4,17,The One with the Free Porn,4
4,17,The One with the Free Porn,6
4,17,The One with the Free Porn,12
4,18,The One with Rachel's New Dress,5
4,18,The One with Rachel's New Dress,6
4,18,The One with Rachel's New Dress,124
4,19,The One with All the Haste,6
4,19,The One with All the Haste,1235
4,20,The One with All the Wedding Dresses,5
4,20,The One with All the Wedding Dresses,12
4,20,The One with All the Wedding Dresses,345
4,21,The One with the Invitation,5
4,21,The One with the Invitation,6
4,22,The One with the Worst Best Man Ever,126
4,22,The One with the Worst Best Man Ever,345
4,23,The One with Ross's Wedding: Part One,6
4,23,The One with Ross's Wedding: Part One,12
4,23,The One with Ross's Wedding: Part One,45
4,24,The One with Ross's Wedding: Part Two,6
4,24,The One with Ross's Wedding: Part Two,13
5,1,The One After Ross Says Rachel,6
5,1,The One After Ross Says Rachel,13
5,2,The One with All the Kissing,4
5,2,The One with All the Kissing,13
5,2,The One with All the Kissing,35
5,2,The One with All the Kissing,56
5,3,The One Hundredth,2
5,3,The One Hundredth,4
5,3,The One Hundredth,13
5,4,The One Where Phoebe Hates PBS,6
5,4,The One Where Phoebe Hates PBS,24
5,4,The One Where Phoebe Hates PBS,13
5,5,The One with the Kips,13
5,5,The One with the Kips,56
5,5,The One with the Kips,123
5,6,The One with the Yeti,4
5,6,The One with the Yeti,6
5,6,The One with the Yeti,35
5,7,The One Where Ross Moves In,4
5,7,The One Where Ross Moves In,35
5,7,The One Where Ross Moves In,126
5,8,The One with the Thanksgiving Flashbacks,13
5,9,The One with Ross's Sandwich,6
5,9,The One with Ross's Sandwich,45
5,9,The One with Ross's Sandwich,123
5,10,The One with the Inappropriate Sister,4
5,10,The One with the Inappropriate Sister,5
5,10,The One with the Inappropriate Sister,126
5,11,The One with All the Resolutions,6
5,11,The One with All the Resolutions,24
5,11,The One with All the Resolutions,25
5,11,The One with All the Resolutions,125
5,12,The One with Chandler's Work Laugh,6
5,12,The One with Chandler's Work Laugh,13
5,12,The One with Chandler's Work Laugh,35
5,13,The One with Joey's Bag,4
5,13,The One with Joey's Bag,13
5,13,The One with Joey's Bag,25
5,14,The One Where Everybody Finds Out,6
5,14,The One Where Everybody Finds Out,13
5,14,The One Where Everybody Finds Out,245
5,15,The One with the Girl Who Hits Joey,2
5,15,The One with the Girl Who Hits Joey,6
5,15,The One with the Girl Who Hits Joey,13
5,16,The One with the Cop,4
5,16,The One with the Cop,56
5,16,The One with the Cop,23
5,17,The One with Rachel's Inadvertent Kiss,2
5,17,The One with Rachel's Inadvertent Kiss,5
5,17,The One with Rachel's Inadvertent Kiss,13
5,18,The One Where Rachel Smokes,2
5,18,The One Where Rachel Smokes,5
5,18,The One Where Rachel Smokes,34
5,19,The One Where Ross Can't Flirt,6
5,19,The One Where Ross Can't Flirt,2
5,19,The One Where Ross Can't Flirt,345
5,20,The One with the Ride Along,5
5,20,The One with the Ride Along,126
5,21,The One with the Ball,4
5,21,The One with the Ball,6
5,21,The One with the Ball,26
5,22,The One with Joey's Big Break,5
5,22,The One with Joey's Big Break,12
5,21,The One with the Ball,46
5,23,The One in Vegas: Part 1,2
5,23,The One in Vegas: Part 1,3
5,23,The One in Vegas: Part 1,4
5,23,The One in Vegas: Part 1,13
5,23,The One in Vegas: Part 1,56
5,24,The One in Vegas: Part 2,2
5,24,The One in Vegas: Part 2,3
5,24,The One in Vegas: Part 2,4
5,24,The One in Vegas: Part 2,13
5,24,The One in Vegas: Part 2,56
6,1,The One After Vegas,13
6,1,The One After Vegas,24
6,1,The One After Vegas,56
6,2,The One Where Ross Hugs Rachel,46
6,2,The One Where Ross Hugs Rachel,56
6,2,The One Where Ross Hugs Rachel,123
6,2,The One Where Ross Hugs Rachel,135
6,3,The One with Ross's Denial,13
6,3,The One with Ross's Denial,56
6,4,The One Where Joey Loses His Insurance,2
6,4,The One Where Joey Loses His Insurance,6
6,4,The One Where Joey Loses His Insurance,56
6,5,The One with Joey's Porsche,2
6,5,The One with Joey's Porsche,56
6,5,The One with Joey's Porsche,134
6,6,The One on the Last Night,12
6,6,The One on the Last Night,345
6,7,The One Where Phoebe Runs,2
6,7,The One Where Phoebe Runs,13
6,7,The One Where Phoebe Runs,45
6,8,The One with Ross' Teeth,6
6,8,The One with Ross' Teeth,45
6,9,The One Where Ross Got High,5
6,9,The One Where Ross Got High,4
6,9,The One Where Ross Got High,26
6,9,The One Where Ross Got High,136
6,10,The One with the Routine,2
6,10,The One with the Routine,16
6,10,The One with the Routine,145
6,11,The One with the Apothecary Table,123
6,11,The One with the Apothecary Table,456
6,12,The One with the Joke,2
6,12,The One with the Joke,16
6,12,The One with the Joke,345
6,13,The One with Rachel's Sister,2
6,13,The One with Rachel's Sister,13
6,13,The One with Rachel's Sister,56
6,14,The One Where Chandler Can't Cry,1
6,14,The One Where Chandler Can't Cry,4
6,14,The One Where Chandler Can't Cry,56
6,15,The One That Could Have Been: Part 1,3
6,15,The One That Could Have Been: Part 1,4
6,15,The One That Could Have Been: Part 1,6
6,15,The One That Could Have Been: Part 1,12
6,15,The One That Could Have Been: Part 1,13
6,15,The One That Could Have Been: Part 1,25
6,16,The One That Could Have Been: Part 2,3
6,16,The One That Could Have Been: Part 2,4
6,16,The One That Could Have Been: Part 2,6
6,16,The One That Could Have Been: Part 2,12
6,16,The One That Could Have Been: Part 2,13
6,16,The One That Could Have Been: Part 2,25
6,17,The One with Unagi,2
6,17,The One with Unagi,13
6,17,The One with Unagi,456
6,18,The One Where Ross Dates a Student,6
6,18,The One Where Ross Dates a Student,45
6,19,The One with Joey's Fridge,2
6,19,The One with Joey's Fridge,6
6,19,The One with Joey's Fridge,1345
6,20,The One with Mac and C.H.E.E.S.E.,12
6,21,The One Where Ross Meets Elizabeth's Dad,2
6,21,The One Where Ross Meets Elizabeth's Dad,56
6,21,The One Where Ross Meets Elizabeth's Dad,134
6,22,The One Where Paul's the Man,13
6,22,The One Where Paul's the Man,56
6,23,The One with the Ring,5
6,23,The One with the Ring,14
6,23,The One with the Ring,26
6,24,The One with the Proposal: Part 1,2
6,24,The One with the Proposal: Part 1,6
6,24,The One with the Proposal: Part 1,13
6,25,The One with the Proposal: Part 2,2
6,25,The One with the Proposal: Part 2,6
6,25,The One with the Proposal: Part 2,13
7,1,The One with Monica's Thunder,1
7,1,The One with Monica's Thunder,2
7,1,The One with Monica's Thunder,4
7,1,The One with Monica's Thunder,356
7,2,The One with Rachel's Book,13
7,2,The One with Rachel's Book,25
7,2,The One with Rachel's Book,46
7,3,The One with Phoebe's Cookies,1
7,3,The One with Phoebe's Cookies,25
7,3,The One with Phoebe's Cookies,34
7,4,The One with Rachel's Assistant,2
7,4,The One with Rachel's Assistant,136
7,4,The One with Rachel's Assistant,45
7,5,The One with the Engagement Picture,13
7,5,The One with the Engagement Picture,25
7,5,The One with the Engagement Picture,46
7,6,The One with the Nap Partners,13
7,6,The One with the Nap Partners,26
7,6,The One with the Nap Partners,345
7,7,The One with Ross's Library Book,6
7,7,The One with Ross's Library Book,13
7,7,The One with Ross's Library Book,245
7,8,The One Where Chandler Doesn't Like Dogs,1
7,8,The One Where Chandler Doesn't Like Dogs,5
7,8,The One Where Chandler Doesn't Like Dogs,6
7,9,The One with All the Candy,3
7,9,The One with All the Candy,5
7,9,The One with All the Candy,46
7,10,The One with the Holiday Armadillo,6
7,10,The One with the Holiday Armadillo,45
7,11,The One with All the Cheesecakes,3
7,11,The One with All the Cheesecakes,4
7,11,The One with All the Cheesecakes,15
7,12,The One Where They're Up All Night,4
7,12,The One Where They're Up All Night,5
7,12,The One Where They're Up All Night,13
7,12,The One Where They're Up All Night,26
7,13,The One Where Rosita Dies,4
7,13,The One Where Rosita Dies,36
7,13,The One Where Rosita Dies,125
7,14,The One Where They All Turn Thirty,5
7,15,The One with Joey's New Brain,2
7,15,The One with Joey's New Brain,6
7,15,The One with Joey's New Brain,45
7,16,The One with the Truth About London,2
7,16,The One with the Truth About London,13
7,16,The One with the Truth About London,56
7,17,The One with the Cheap Wedding Dress,3
7,17,The One with the Cheap Wedding Dress,26
7,18,The One with Joey's Award,2
7,18,The One with Joey's Award,6
7,19,The One with Ross and Monica's Cousin,23
7,19,The One with Ross and Monica's Cousin,345
7,20,The One with Rachel's Big Kiss,16
7,20,The One with Rachel's Big Kiss,45
7,21,The One with the Vows,13
7,22,The One with Chandler's Dad,13
7,22,The One with Chandler's Dad,24
7,22,The One with Chandler's Dad,56
7,23,The One with Monica and Chandler's Wedding: Part 1,2
7,23,The One with Monica and Chandler's Wedding: Part 1,4
7,23,The One with Monica and Chandler's Wedding: Part 1,13
7,24,The One with Monica and Chandler's Wedding: Part 2,2
7,24,The One with Monica and Chandler's Wedding: Part 2,4
7,24,The One with Monica and Chandler's Wedding: Part 2,13
8,1,The One After I Do,1
8,1,The One After I Do,2
8,1,The One After I Do,345
8,2,The One with the Red Sweater,3
8,2,The One with the Red Sweater,16
8,3,The One Where Rachel Tells...,5
8,3,The One Where Rachel Tells...,13
8,3,The One Where Rachel Tells...,24
8,4,The One with the Videotape,13
8,4,The One with the Videotape,56
8,5,The One with Rachel's Date,1
8,5,The One with Rachel's Date,34
8,5,The One with Rachel's Date,56
8,6,The One with the Halloween Party,4
8,6,The One with the Halloween Party,5
8,6,The One with the Halloween Party,16
8,7,The One with the Stain,4
8,7,The One with the Stain,13
8,7,The One with the Stain,25
8,7,The One with the Stain,56
8,8,The One with the Stripper,5
8,8,The One with the Stripper,13
8,9,The One with the Rumor,2
8,9,The One with the Rumor,14
8,9,The One with the Rumor,56
8,10,The One with Monica's Boots,5
8,10,The One with Monica's Boots,13
8,10,The One with Monica's Boots,46
8,11,The One with Ross's Step Forward,1
8,11,The One with Ross's Step Forward,5
8,11,The One with Ross's Step Forward,6
8,12,The One Where Joey Dates Rachel,6
8,12,The One Where Joey Dates Rachel,25
8,12,The One Where Joey Dates Rachel,134
8,13,The One Where Chandler Takes a Bath,13
8,13,The One Where Chandler Takes a Bath,24
8,13,The One Where Chandler Takes a Bath,56
8,14,The One with the Secret Closet,13
8,14,The One with the Secret Closet,25
8,14,The One with the Secret Closet,34
8,15,The One with the Birthing Video,6
8,15,The One with the Birthing Video,13
8,15,The One with the Birthing Video,26
8,16,The One Where Joey Tells Rachel,25
8,16,The One Where Joey Tells Rachel,26
8,16,The One Where Joey Tells Rachel,34
8,17,The One with the Tea Leaves,4
8,17,The One with the Tea Leaves,6
8,17,The One with the Tea Leaves,25
8,18,The One in Massapequa,3
8,18,The One in Massapequa,4
8,18,The One in Massapequa,56
8,19,The One with Joey's Interview,2
8,20,The One with the Baby Shower,5
8,20,The One with the Baby Shower,34
8,20,The One with the Baby Shower,126
8,21,The One with the Cooking Class,14
8,21,The One with the Cooking Class,23
8,21,The One with the Cooking Class,56
8,22,The One Where Rachel Is Late,5
8,22,The One Where Rachel Is Late,12
8,22,The One Where Rachel Is Late,34
8,23,The One Where Rachel Has a Baby: Part 1,13
8,23,The One Where Rachel Has a Baby: Part 1,25
8,23,The One Where Rachel Has a Baby: Part 1,56
8,24,The One Where Rachel Has a Baby: Part 2,13
8,24,The One Where Rachel Has a Baby: Part 2,25
8,24,The One Where Rachel Has a Baby: Part 2,56
9,1,The One Where No One Proposes,25
9,1,The One Where No One Proposes,13
9,1,The One Where No One Proposes,56
9,2,The One Where Emma Cries,26
9,2,The One Where Emma Cries,5
9,2,The One Where Emma Cries,1
9,3,The One with the Pediatrician,24
9,3,The One with the Pediatrician,56
9,4,The One with the Sharks,2
9,4,The One with the Sharks,13
9,5,The One with Phoebe's Birthday Dinner,56
9,5,The One with Phoebe's Birthday Dinner,13
9,5,The One with Phoebe's Birthday Dinner,24
9,6,The One with the Male Nanny,56
9,6,The One with the Male Nanny,13
9,6,The One with the Male Nanny,4
9,7,The One with Ross's Inappropriate Song,6
9,7,The One with Ross's Inappropriate Song,4
9,7,The One with Ross's Inappropriate Song,12
9,8,The One with Rachel's Other Sister,24
9,8,The One with Rachel's Other Sister,5
9,9,The One with Rachel's Phone Number,45
9,9,The One with Rachel's Phone Number,123
9,9,The One with Rachel's Phone Number,6
9,10,The One with Christmas in Tulsa,1
9,10,The One with Christmas in Tulsa,13
9,11,The One Where Rachel Goes Back to Work,24
9,11,The One Where Rachel Goes Back to Work,5
9,11,The One Where Rachel Goes Back to Work,13
9,12,The One with Phoebe's Rats,56
9,12,The One with Phoebe's Rats,4
9,12,The One with Phoebe's Rats,125
9,13,The One Where Monica Sings,34
9,13,The One Where Monica Sings,12
9,13,The One Where Monica Sings,56
9,14,The One with the Blind Dates,24
9,14,The One with the Blind Dates,123
9,14,The One with the Blind Dates,12
9,15,The One with the Mugging,2
9,15,The One with the Mugging,46
9,15,The One with the Mugging,1
9,16,The One with the Boob Job,123
9,16,The One with the Boob Job,5
9,16,The One with the Boob Job,4
9,17,The One with the Memorial Service,34
9,17,The One with the Memorial Service,16
9,17,The One with the Memorial Service,25
9,18,The One with the Lottery,1
9,18,The One with the Lottery,56
9,19,The One with Rachel's Dream,25
9,19,The One with Rachel's Dream,34
9,19,The One with Rachel's Dream,16
9,20,The One with the Soap Opera Party,1
9,20,The One with the Soap Opera Party,25
9,20,The One with the Soap Opera Party,2
9,21,The One with the Fertility Test,13
9,21,The One with the Fertility Test,45
9,21,The One with the Fertility Test,26
9,22,The One with the Donor,13
9,22,The One with the Donor,25
9,22,The One with the Donor,45
9,22,The One with the Donor,6
9,23,The One in Barbados: Part 1,4
9,23,The One in Barbados: Part 1,6
9,23,The One in Barbados: Part 1,25
9,24,The One in Barbados: Part 2,25
9,24,The One in Barbados: Part 2,134
9,24,The One in Barbados: Part 2,256
10,1,The One After Joey and Rachel Kiss,4
10,1,The One After Joey and Rachel Kiss,256
10,1,The One After Joey and Rachel Kiss,25
10,1,The One After Joey and Rachel Kiss,13
10,2,The One Where Ross Is Fine,13
10,2,The One Where Ross Is Fine,256
10,2,The One Where Ross Is Fine,25
10,2,The One Where Ross Is Fine,4
10,3,The One with Ross's Tan,5
10,3,The One with Ross's Tan,26
10,3,The One with Ross's Tan,34
10,4,The One with the Cake,56
10,4,The One with the Cake,1234
10,5,The One Where Rachel's Sister Babysits,6
10,5,The One Where Rachel's Sister Babysits,4
10,5,The One Where Rachel's Sister Babysits,123
10,6,The One with Ross' Grant,5
10,6,The One with Ross' Grant,346
10,6,The One with Ross' Grant,12
10,7,The One with the Home Study,123
10,7,The One with the Home Study,56
10,7,The One with the Home Study,4
10,8,The One with the Late Thanksgiving,46
10,8,The One with the Late Thanksgiving,25
10,8,The One with the Late Thanksgiving,13
10,9,The One with the Birth Mother,13
10,9,The One with the Birth Mother,2
10,9,The One with the Birth Mother,456
10,10,The One Where Chandler Gets Caught,46
10,10,The One Where Chandler Gets Caught,2456
10,10,The One Where Chandler Gets Caught,13
10,11,The One Where the Stripper Cries,346
10,11,The One Where the Stripper Cries,15
10,11,The One Where the Stripper Cries,1356
10,11,The One Where the Stripper Cries,2
10,11,The One Where the Stripper Cries,35
10,12,The One with Phoebe's Wedding,4
10,12,The One with Phoebe's Wedding,24
10,12,The One with Phoebe's Wedding,15
10,13,The One Where Joey Speaks French,24
10,13,The One Where Joey Speaks French,56
10,13,The One Where Joey Speaks French,13
10,14,The One with Princess Consuela,4
10,14,The One with Princess Consuela,6
10,14,The One with Princess Consuela,123
10,15,The One Where Estelle Dies,2
10,15,The One Where Estelle Dies,13
10,15,The One Where Estelle Dies,56
10,16,The One with Rachel's Going Away Party,13
10,16,The One with Rachel's Going Away Party,56
10,16,The One with Rachel's Going Away Party,15
10,16,The One with Rachel's Going Away Party,25
10,16,The One with Rachel's Going Away Party,35
10,16,The One with Rachel's Going Away Party,45
10,17,The Last One: Part 1,13
10,17,The Last One: Part 1,56
10,17,The Last One: Part 1,45
10,17,The Last One: Part 1,123
10,18,The Last One: Part 2,46
10,18,The Last One: Part 2,56
10,18,The Last One: Part 2,123
10,18,The Last One: Part 2,12
